objid,k,thresh,p,r,j,fpr,fnr
4,100,0.2,0.7820768846729905,0.9493939393939393,0.7507788161993769,0.2872655478775913,5.0606060606060606
4,100,0.5,0.8631669535283993,0.9118181818181819,0.7966640190627482,0.156959526159921,8.818181818181818
4,100,0.8,0.8679135008766803,0.9,0.7915778251599147,0.1487331358999671,10.0
4,500,0.2,0.7820768846729905,0.9493939393939393,0.7507788161993769,0.2872655478775913,5.0606060606060606
4,500,0.5,0.8631669535283993,0.9118181818181819,0.7966640190627482,0.156959526159921,8.818181818181818
4,500,0.8,0.8679135008766803,0.9,0.7915778251599147,0.1487331358999671,10.0
40,100,0.2,0.8558139534883721,0.3890063424947146,0.36507936507936506,0.04579904560698509,61.09936575052855
40,100,0.5,0.8558139534883721,0.3890063424947146,0.36507936507936506,0.04579904560698509,61.09936575052855
40,100,0.8,0.8892171344165436,0.3181818181818182,0.30604982206405695,0.027701035649386144,68.18181818181817
40,500,0.2,0.8558139534883721,0.3890063424947146,0.36507936507936506,0.04579904560698509,61.09936575052855
40,500,0.5,0.8558139534883721,0.3890063424947146,0.36507936507936506,0.04579904560698509,61.09936575052855
40,500,0.8,0.8892171344165436,0.3181818181818182,0.30604982206405695,0.027701035649386144,68.18181818181817
41,100,0.2,0.5269320843091335,0.7705479452054794,0.45546558704453444,0.14815032123683516,22.945205479452056
41,100,0.5,0.9818181818181818,0.18493150684931506,0.18430034129692832,0.0007334174318655205,81.5068493150685
41,100,0.8,0.9818181818181818,0.18493150684931506,0.18430034129692832,0.0007334174318655205,81.5068493150685
41,500,0.2,0.5269320843091335,0.7705479452054794,0.45546558704453444,0.14815032123683516,22.945205479452056
41,500,0.5,0.9818181818181818,0.18493150684931506,0.18430034129692832,0.0007334174318655205,81.5068493150685
41,500,0.8,0.9818181818181818,0.18493150684931506,0.18430034129692832,0.0007334174318655205,81.5068493150685
42,100,0.2,0.9009150700600514,0.9661146887457835,0.8733194733194733,0.25978602328702416,3.3885311254216495
42,100,0.5,0.9328099048769439,0.9472554431156087,0.8867518300559781,0.16681786488127817,5.274455688439129
42,100,0.8,0.9743497757847533,0.8328733517325974,0.8150037509377345,0.053606639725893884,16.712664826740266
42,500,0.2,0.9009150700600514,0.9661146887457835,0.8733194733194733,0.25978602328702416,3.3885311254216495
42,500,0.5,0.9328099048769439,0.9472554431156087,0.8867518300559781,0.16681786488127817,5.274455688439129
42,500,0.8,0.9743497757847533,0.8328733517325974,0.8150037509377345,0.053606639725893884,16.712664826740266
43,100,0.2,0.841830985915493,0.8098367319287311,0.7028870465102605,0.8687949435051195,19.016326807126887
43,100,0.5,0.8926575597640485,0.779147754217194,0.7124008919722498,0.5349703503417543,22.085224578280606
43,100,0.8,0.9823248752982,0.6137118081430797,0.6070088448137229,0.06305145850014893,38.62881918569202
43,500,0.2,0.841830985915493,0.8098367319287311,0.7028870465102605,0.8687949435051195,19.016326807126887
43,500,0.5,0.8926575597640485,0.779147754217194,0.7124008919722498,0.5349703503417543,22.085224578280606
43,500,0.8,0.9823248752982,0.6137118081430797,0.6070088448137229,0.06305145850014893,38.62881918569202
44,100,0.2,0.5418256708462051,0.866427741185587,0.5000559033989267,2.87652687141575,13.3572258814413
44,100,0.5,0.9338765277342526,0.5772956218519953,0.5546249767355295,0.1604831226516984,42.27043781480047
44,100,0.8,0.9884259259259259,0.49631925610228594,0.49345146379044685,0.022817505590288868,50.36807438977141
44,500,0.2,0.5418256708462051,0.866427741185587,0.5000559033989267,2.87652687141575,13.3572258814413
44,500,0.5,0.9338765277342526,0.5772956218519953,0.5546249767355295,0.1604831226516984,42.27043781480047
44,500,0.8,0.9884259259259259,0.49631925610228594,0.49345146379044685,0.022817505590288868,50.36807438977141
45,100,0.2,0.48808851755673477,0.8981923955952629,0.4625013373274848,1.6888481638339163,10.180760440473717
45,100,0.5,0.9922580645161291,0.3195512154581342,0.3187564766839378,0.00446982310675055,68.04487845418657
45,100,0.8,0.9967298888162197,0.316642426760856,0.3163138231631382,0.0018624262944793959,68.33575732391441
45,500,0.2,0.48808851755673477,0.8981923955952629,0.4625013373274848,1.6888481638339163,10.180760440473717
45,500,0.5,0.9922580645161291,0.3195512154581342,0.3187564766839378,0.00446982310675055,68.04487845418657
45,500,0.8,0.9967298888162197,0.316642426760856,0.3163138231631382,0.0018624262944793959,68.33575732391441
46,100,0.2,0.7106331168831169,0.7237531000275558,0.5590081941045014,0.8040688364120261,27.624689997244424
46,100,0.5,0.9813542688910697,0.5511160099200881,0.545404963185165,0.028569065716369323,44.88839900799118
46,100,0.8,0.9813542688910697,0.5511160099200881,0.545404963185165,0.028569065716369323,44.88839900799118
46,500,0.2,0.7106331168831169,0.7237531000275558,0.5590081941045014,0.8040688364120261,27.624689997244424
