,Unnamed: 0,sample,num_workers,sample_num,objid,clust,actualNworkerInSample
293,293,10workers_rand4,10,4,10,0,9
245,245,10workers_rand4,10,4,15,0,10
247,247,10workers_rand4,10,4,18,0,10
250,250,10workers_rand4,10,4,20,1,4
254,254,10workers_rand4,10,4,21,0,9
256,256,10workers_rand4,10,4,22,0,8
258,258,10workers_rand4,10,4,25,0,6
260,260,10workers_rand4,10,4,26,0,10
262,262,10workers_rand4,10,4,27,0,8
266,266,10workers_rand4,10,4,28,0,9
268,268,10workers_rand4,10,4,29,0,6
272,272,10workers_rand4,10,4,30,1,10
273,273,10workers_rand4,10,4,31,0,10
276,276,10workers_rand4,10,4,32,0,8
278,278,10workers_rand4,10,4,33,0,9
281,281,10workers_rand4,10,4,34,1,9
282,282,10workers_rand4,10,4,37,0,6
289,289,10workers_rand4,10,4,40,0,8
291,291,10workers_rand4,10,4,41,0,9
284,284,10workers_rand4,10,4,42,0,6
288,288,10workers_rand4,10,4,47,2,5
295,295,10workers_rand5,10,5,1,0,10
297,297,10workers_rand5,10,5,4,0,10
299,299,10workers_rand5,10,5,7,0,7
301,301,10workers_rand5,10,5,8,0,5
352,352,10workers_rand5,10,5,10,0,9
304,304,10workers_rand5,10,5,15,0,10
306,306,10workers_rand5,10,5,18,0,8
309,309,10workers_rand5,10,5,20,1,5
313,313,10workers_rand5,10,5,21,0,9
315,315,10workers_rand5,10,5,22,0,10
317,317,10workers_rand5,10,5,25,0,7
319,319,10workers_rand5,10,5,26,0,10
321,321,10workers_rand5,10,5,27,0,10
325,325,10workers_rand5,10,5,28,0,9
327,327,10workers_rand5,10,5,29,0,7
331,331,10workers_rand5,10,5,30,1,9
332,332,10workers_rand5,10,5,31,0,8
335,335,10workers_rand5,10,5,32,0,9
337,337,10workers_rand5,10,5,33,0,8
340,340,10workers_rand5,10,5,34,1,9
342,342,10workers_rand5,10,5,37,1,7
348,348,10workers_rand5,10,5,40,0,8
350,350,10workers_rand5,10,5,41,0,7
343,343,10workers_rand5,10,5,42,0,7
347,347,10workers_rand5,10,5,47,2,4
354,354,10workers_rand6,10,6,1,0,10
356,356,10workers_rand6,10,6,4,0,9
358,358,10workers_rand6,10,6,7,0,6
360,360,10workers_rand6,10,6,8,0,5
411,411,10workers_rand6,10,6,10,0,9
363,363,10workers_rand6,10,6,15,0,10
365,365,10workers_rand6,10,6,18,0,10
368,368,10workers_rand6,10,6,20,1,4
372,372,10workers_rand6,10,6,21,0,9
374,374,10workers_rand6,10,6,22,0,9
376,376,10workers_rand6,10,6,25,0,5
378,378,10workers_rand6,10,6,26,0,10
380,380,10workers_rand6,10,6,27,0,8
384,384,10workers_rand6,10,6,28,0,9
387,387,10workers_rand6,10,6,29,1,5
390,390,10workers_rand6,10,6,30,1,8
391,391,10workers_rand6,10,6,31,0,8
394,394,10workers_rand6,10,6,32,0,8
396,396,10workers_rand6,10,6,33,0,6
399,399,10workers_rand6,10,6,34,1,8
401,401,10workers_rand6,10,6,37,1,6
407,407,10workers_rand6,10,6,40,0,8
409,409,10workers_rand6,10,6,41,0,8
402,402,10workers_rand6,10,6,42,0,5
406,406,10workers_rand6,10,6,47,2,5
413,413,10workers_rand7,10,7,1,0,10
415,415,10workers_rand7,10,7,4,0,9
417,417,10workers_rand7,10,7,7,0,9
420,420,10workers_rand7,10,7,8,1,5
470,470,10workers_rand7,10,7,10,0,9
422,422,10workers_rand7,10,7,15,0,10
424,424,10workers_rand7,10,7,18,0,9
428,428,10workers_rand7,10,7,20,2,6
431,431,10workers_rand7,10,7,21,0,10
433,433,10workers_rand7,10,7,22,0,9
435,435,10workers_rand7,10,7,25,0,5
437,437,10workers_rand7,10,7,26,0,9
439,439,10workers_rand7,10,7,27,0,10
443,443,10workers_rand7,10,7,28,0,8
446,446,10workers_rand7,10,7,29,1,5
449,449,10workers_rand7,10,7,30,1,10
450,450,10workers_rand7,10,7,31,0,8
453,453,10workers_rand7,10,7,32,0,9
455,455,10workers_rand7,10,7,33,0,7
458,458,10workers_rand7,10,7,34,1,10
460,460,10workers_rand7,10,7,37,1,6
466,466,10workers_rand7,10,7,40,0,9
468,468,10workers_rand7,10,7,41,0,7
461,461,10workers_rand7,10,7,42,0,5
465,465,10workers_rand7,10,7,47,2,5
472,472,15workers_rand0,15,0,1,0,13
474,474,15workers_rand0,15,0,4,0,14
476,476,15workers_rand0,15,0,7,0,12
478,478,15workers_rand0,15,0,8,0,9
529,529,15workers_rand0,15,0,10,0,14
481,481,15workers_rand0,15,0,15,0,14
483,483,15workers_rand0,15,0,18,0,14
486,486,15workers_rand0,15,0,20,1,6
490,490,15workers_rand0,15,0,21,0,14
492,492,15workers_rand0,15,0,22,0,15
494,494,15workers_rand0,15,0,25,0,9
496,496,15workers_rand0,15,0,26,0,14
498,498,15workers_rand0,15,0,27,0,15
502,502,15workers_rand0,15,0,28,0,14
504,504,15workers_rand0,15,0,29,0,10
508,508,15workers_rand0,15,0,30,1,13
509,509,15workers_rand0,15,0,31,0,13
512,512,15workers_rand0,15,0,32,0,11
514,514,15workers_rand0,15,0,33,0,10
517,517,15workers_rand0,15,0,34,1,14
519,519,15workers_rand0,15,0,37,1,8
526,526,15workers_rand0,15,0,40,0,11
527,527,15workers_rand0,15,0,41,0,10
520,520,15workers_rand0,15,0,42,0,8
524,524,15workers_rand0,15,0,47,2,8
531,531,15workers_rand1,15,1,1,0,15
533,533,15workers_rand1,15,1,4,0,14
535,535,15workers_rand1,15,1,7,0,11
537,537,15workers_rand1,15,1,8,0,11
588,588,15workers_rand1,15,1,10,0,15
540,540,15workers_rand1,15,1,15,0,15
542,542,15workers_rand1,15,1,18,0,14
546,546,15workers_rand1,15,1,20,2,6
549,549,15workers_rand1,15,1,21,0,14
551,551,15workers_rand1,15,1,22,0,14
554,554,15workers_rand1,15,1,25,1,9
555,555,15workers_rand1,15,1,26,0,14
557,557,15workers_rand1,15,1,27,0,14
561,561,15workers_rand1,15,1,28,0,14
563,563,15workers_rand1,15,1,29,0,7
567,567,15workers_rand1,15,1,30,1,13
568,568,15workers_rand1,15,1,31,0,12
571,571,15workers_rand1,15,1,32,0,12
573,573,15workers_rand1,15,1,33,0,12
576,576,15workers_rand1,15,1,34,1,13
578,578,15workers_rand1,15,1,37,1,9
584,584,15workers_rand1,15,1,40,0,10
586,586,15workers_rand1,15,1,41,0,10
579,579,15workers_rand1,15,1,42,0,10
582,582,15workers_rand1,15,1,47,1,6
590,590,15workers_rand2,15,2,1,0,15
592,592,15workers_rand2,15,2,4,0,14
594,594,15workers_rand2,15,2,7,0,11
596,596,15workers_rand2,15,2,8,0,9
647,647,15workers_rand2,15,2,10,0,14
599,599,15workers_rand2,15,2,15,0,15
601,601,15workers_rand2,15,2,18,0,14
604,604,15workers_rand2,15,2,20,1,5
608,608,15workers_rand2,15,2,21,0,14
610,610,15workers_rand2,15,2,22,0,13
612,612,15workers_rand2,15,2,25,0,8
614,614,15workers_rand2,15,2,26,0,15
616,616,15workers_rand2,15,2,27,0,13
620,620,15workers_rand2,15,2,28,0,13
622,622,15workers_rand2,15,2,29,0,8
626,626,15workers_rand2,15,2,30,1,13
627,627,15workers_rand2,15,2,31,0,13
630,630,15workers_rand2,15,2,32,0,11
632,632,15workers_rand2,15,2,33,0,11
635,635,15workers_rand2,15,2,34,1,13
637,637,15workers_rand2,15,2,37,1,8
643,643,15workers_rand2,15,2,40,0,13
645,645,15workers_rand2,15,2,41,0,11
638,638,15workers_rand2,15,2,42,0,9
642,642,15workers_rand2,15,2,47,2,7
649,649,15workers_rand3,15,3,1,0,15
651,651,15workers_rand3,15,3,4,0,15
653,653,15workers_rand3,15,3,7,0,10
655,655,15workers_rand3,15,3,8,0,8
706,706,15workers_rand3,15,3,10,0,15
658,658,15workers_rand3,15,3,15,0,14
660,660,15workers_rand3,15,3,18,0,15
663,663,15workers_rand3,15,3,20,1,6
667,667,15workers_rand3,15,3,21,0,15
669,669,15workers_rand3,15,3,22,0,15
671,671,15workers_rand3,15,3,25,0,9
673,673,15workers_rand3,15,3,26,0,13
675,675,15workers_rand3,15,3,27,0,15
679,679,15workers_rand3,15,3,28,0,15
681,681,15workers_rand3,15,3,29,0,8
685,685,15workers_rand3,15,3,30,1,15
686,686,15workers_rand3,15,3,31,0,13
689,689,15workers_rand3,15,3,32,0,11
691,691,15workers_rand3,15,3,33,0,12
694,694,15workers_rand3,15,3,34,1,13
695,695,15workers_rand3,15,3,37,0,9
702,702,15workers_rand3,15,3,40,0,14
705,705,15workers_rand3,15,3,41,1,8
697,697,15workers_rand3,15,3,42,0,8
700,700,15workers_rand3,15,3,47,1,6
708,708,15workers_rand4,15,4,1,0,14
710,710,15workers_rand4,15,4,4,0,14
712,712,15workers_rand4,15,4,7,0,13
714,714,15workers_rand4,15,4,8,0,9
765,765,15workers_rand4,15,4,10,0,14
717,717,15workers_rand4,15,4,15,0,15
719,719,15workers_rand4,15,4,18,0,13
722,722,15workers_rand4,15,4,20,1,6
726,726,15workers_rand4,15,4,21,0,14
728,728,15workers_rand4,15,4,22,0,14
730,730,15workers_rand4,15,4,25,0,8
732,732,15workers_rand4,15,4,26,0,15
734,734,15workers_rand4,15,4,27,0,13
738,738,15workers_rand4,15,4,28,0,13
740,740,15workers_rand4,15,4,29,0,8
744,744,15workers_rand4,15,4,30,1,14
745,745,15workers_rand4,15,4,31,0,11
748,748,15workers_rand4,15,4,32,0,13
750,750,15workers_rand4,15,4,33,0,10
753,753,15workers_rand4,15,4,34,1,12
754,754,15workers_rand4,15,4,37,0,12
761,761,15workers_rand4,15,4,40,0,10
763,763,15workers_rand4,15,4,41,0,12
756,756,15workers_rand4,15,4,42,0,10
760,760,15workers_rand4,15,4,47,2,6
767,767,15workers_rand5,15,5,1,0,15
769,769,15workers_rand5,15,5,4,0,14
771,771,15workers_rand5,15,5,7,0,11
773,773,15workers_rand5,15,5,8,0,9
824,824,15workers_rand5,15,5,10,0,14
776,776,15workers_rand5,15,5,15,0,15
778,778,15workers_rand5,15,5,18,0,14
781,781,15workers_rand5,15,5,20,1,5
785,785,15workers_rand5,15,5,21,0,14
787,787,15workers_rand5,15,5,22,0,13
789,789,15workers_rand5,15,5,25,0,8
791,791,15workers_rand5,15,5,26,0,15
793,793,15workers_rand5,15,5,27,0,13
797,797,15workers_rand5,15,5,28,0,13
799,799,15workers_rand5,15,5,29,0,8
803,803,15workers_rand5,15,5,30,1,13
804,804,15workers_rand5,15,5,31,0,13
807,807,15workers_rand5,15,5,32,0,11
809,809,15workers_rand5,15,5,33,0,11
812,812,15workers_rand5,15,5,34,1,13
814,814,15workers_rand5,15,5,37,1,8
820,820,15workers_rand5,15,5,40,0,13
822,822,15workers_rand5,15,5,41,0,11
815,815,15workers_rand5,15,5,42,0,9
819,819,15workers_rand5,15,5,47,2,7
826,826,20workers_rand0,20,0,1,0,19
828,828,20workers_rand0,20,0,4,0,19
830,830,20workers_rand0,20,0,7,0,12
832,832,20workers_rand0,20,0,8,0,11
883,883,20workers_rand0,20,0,10,0,19
835,835,20workers_rand0,20,0,15,0,18
