,sample,objid,wid,clust
701,5workers_rand8,30,147,0
702,5workers_rand8,30,226,1
703,5workers_rand8,30,263,0
704,5workers_rand8,30,161,1
705,5workers_rand8,31,141,0
706,5workers_rand8,31,175,0
707,5workers_rand8,31,219,0
708,5workers_rand8,31,52,0
709,5workers_rand8,31,199,1
710,5workers_rand8,32,247,0
711,5workers_rand8,32,175,0
712,5workers_rand8,32,120,0
713,5workers_rand8,32,146,0
714,5workers_rand8,32,192,0
715,5workers_rand8,33,139,0
716,5workers_rand8,33,193,0
717,5workers_rand8,33,218,0
718,5workers_rand8,33,187,0
719,5workers_rand8,33,196,0
720,5workers_rand8,34,192,1
721,5workers_rand8,34,199,1
722,5workers_rand8,34,9,0
723,5workers_rand8,34,114,1
724,5workers_rand8,34,147,0
725,5workers_rand8,37,137,1
726,5workers_rand8,37,182,1
727,5workers_rand8,37,184,0
728,5workers_rand8,37,199,0
729,5workers_rand8,37,211,0
730,5workers_rand8,40,68,1
731,5workers_rand8,40,187,0
732,5workers_rand8,40,218,0
733,5workers_rand8,40,159,0
734,5workers_rand8,40,169,0
735,5workers_rand8,41,181,0
736,5workers_rand8,41,213,0
737,5workers_rand8,41,208,0
738,5workers_rand8,41,103,0
739,5workers_rand8,41,145,0
740,5workers_rand8,42,135,0
741,5workers_rand8,42,156,0
742,5workers_rand8,42,219,1
743,5workers_rand8,42,181,1
744,5workers_rand8,42,201,1
745,5workers_rand8,47,146,0
746,5workers_rand8,47,199,2
747,5workers_rand8,47,219,2
748,5workers_rand8,47,196,2
749,5workers_rand8,47,82,2
750,5workers_rand9,1,223,0
751,5workers_rand9,1,238,0
752,5workers_rand9,1,170,0
753,5workers_rand9,1,187,0
754,5workers_rand9,1,52,0
755,5workers_rand9,4,187,0
756,5workers_rand9,4,196,0
757,5workers_rand9,4,82,0
758,5workers_rand9,4,175,0
759,5workers_rand9,4,114,0
760,5workers_rand9,7,156,0
761,5workers_rand9,7,187,0
762,5workers_rand9,7,193,0
763,5workers_rand9,7,143,0
764,5workers_rand9,7,92,0
765,5workers_rand9,8,169,0
766,5workers_rand9,8,223,0
767,5workers_rand9,8,82,0
768,5workers_rand9,8,214,1
769,5workers_rand9,8,118,0
770,5workers_rand9,10,147,1
771,5workers_rand9,10,133,0
772,5workers_rand9,10,205,0
773,5workers_rand9,10,219,0
774,5workers_rand9,10,161,0
775,5workers_rand9,20,195,2
776,5workers_rand9,20,54,1
777,5workers_rand9,20,9,2
778,5workers_rand9,20,213,2
779,5workers_rand9,20,156,1
780,5workers_rand9,15,129,0
781,5workers_rand9,15,56,1
782,5workers_rand9,15,181,0
783,5workers_rand9,15,175,0
784,5workers_rand9,15,142,0
785,5workers_rand9,18,209,0
786,5workers_rand9,18,114,0
787,5workers_rand9,18,217,0
788,5workers_rand9,18,82,1
789,5workers_rand9,18,54,0
790,5workers_rand9,21,169,0
791,5workers_rand9,21,209,0
792,5workers_rand9,21,82,0
793,5workers_rand9,21,156,0
794,5workers_rand9,21,13,0
795,5workers_rand9,22,193,0
796,5workers_rand9,22,201,0
797,5workers_rand9,22,208,0
798,5workers_rand9,22,156,0
799,5workers_rand9,22,6,0
800,5workers_rand9,25,214,0
801,5workers_rand9,25,184,1
802,5workers_rand9,25,250,0
803,5workers_rand9,25,230,1
804,5workers_rand9,25,140,1
805,5workers_rand9,26,222,0
806,5workers_rand9,26,234,0
